Type,QID,Name,Alias,Chinese name,Country,Topics,Summary,Chinese summary,Body,List,Date,End date,Source URL,Address
Organization,,National Endowment for Democracy,,美国国家民主基金会,US,sanction.counter,,,Ministry of Foreign Affairs,,02.12.2019,,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/201912/t20191202_9712164.shtml,
Organization,,National Democratic Institute for International Affairs,,美国国际事务民主协会,US,sanction.counter,,,Ministry of Foreign Affairs,,02.12.2019,,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/201912/t20191202_9712164.shtml,
Organization,,International Republican Institute,,美国国际共和研究所,US,sanction.counter,,,Ministry of Foreign Affairs,,02.12.2019,,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/201912/t20191202_9712164.shtml,
Organization,,Human Rights Watch,,人权观察,US,sanction.counter,,,Ministry of Foreign Affairs,,02.12.2019,,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/201912/t20191202_9712164.shtml,
Organization,,Freedom House,,自由之家,US,sanction.counter,,,Ministry of Foreign Affairs,,02.12.2019,,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/201912/t20191202_9712164.shtml,
Organization,,US Congressional-Executive Commission on China,,国会-行政部门中国委员会,US,sanction.counter,,,Ministry of Foreign Affairs,,13.07.20,,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202007/t20200713_9712330.shtml,
Person,Q317618,Sam Brownback,,布朗巴克,US,sanction.counter,US Ambassador-at-Large for International Religious Freedom,,Ministry of Foreign Affairs,,13.07.20,,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202007/t20200713_9712330.shtml,
Person,Q324546,Marco Rubio,,鲁比欧,US,sanction.counter,US Senator,,Ministry of Foreign Affairs,,13.07.20,,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202007/t20200713_9712330.shtml,
Person,Q2036942,Ted Cruz,,克鲁兹,US,sanction.counter,US Senator,,Ministry of Foreign Affairs,,13.07.20,,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202007/t20200713_9712330.shtml,
Person,Q981167,Chris Smith,,史密斯,US,sanction.counter,US congressman,,Ministry of Foreign Affairs,,13.07.20,,https://www.fmprc.gov.cn/web/wjdt_674879/zcjd/202007/t20200713_9712330.shtml,
Person,Q324546,Marco Rubio,,鲁比欧,US,sanction.counter,US Senator,,Ministry of Foreign Affairs,,10.08.20,,https://www.fmprc.gov.cn/eng/xwfw_665399/s2510_665401/2511_665403/202008/t20200810_693328.html,
Person,Q2036942,Ted Cruz,,克鲁兹,US,sanction.counter,US Senator,,Ministry of Foreign Affairs,,10.08.20,,https://www.fmprc.gov.cn/eng/xwfw_665399/s2510_665401/2511_665403/202008/t20200810_693328.html,
Person,Q23020745,Josh Hawley,,霍利,US,sanction.counter,US Senator,,Ministry of Foreign Affairs,,10.08.20,,https://www.fmprc.gov.cn/eng/xwfw_665399/s2510_665401/2511_665403/202008/t20200810_693328.html,
