resolution_id,title
TF-114,"TF-114 - NOTICE OF TARGETED FINANCIAL SANCTIONS THROUGH AMLC RESOLUTION NO. TF-114, SERIES OF 2026 IN RELATION TO ANTI-TERRORISM COUNCIL RESOLUTION NO. 82 (2025)"
TF-113,"TF-113 - NOTICE OF TARGETED FINANCIAL SANCTIONS THROUGH AMLC RESOLUTION NO. TF-113, SERIES OF 2026 IN RELATION TO ANTI-TERRORISM COUNCIL RESOLUTION NO. 81 (2025)"
TF-112,"TF-112 - NOTICE OF TARGETED FINANCIAL SANCTIONS THROUGH AMLC RESOLUTION NO. TF-112, SERIES OF 2026 IN RELATION TO ANTI-TERRORISM COUNCIL RESOLUTION NO. 80 (2025)"
TF-108,"TF-108 - TARGETED FINANCIAL SANCTIONS THROUGH AMLC RESOLUTION NO. TF-108,SERIES OF 2025 IN RELATION TO ANTI-TERRORISM COUNCIL RESOLUTION NO. 77 (2025)"
TF-104,TF-104 - NOTICE OF TARGETED FINANCIAL SANCTIONS IN RELATION TO ANTI-TERRORISM COUNCIL RESOLUTION NO. 65 (2024)
TF-102,TF-102 - NOTICE OF TARGETED FINANCIAL SANCTIONS IN RELATION TO ANTI-TERRORISM COUNCIL RESOLUTION NO. 64 (2024)
TF-090,TF-090 - NOTICE OF TARGETED FINANCIAL SANCTIONS IN RELATION TO ANTI-TERRORISM COUNCIL RESOLUTION NO. 60 (2024)
TF-088,TF-088 - TARGETED FINANCIAL SANCTIONS IN RELATION TO ANTI-TERRORISM COUNCIL RESOLUTION NO. 55 (2023)
TF-087,TF-087 - TARGETED FINANCIAL SANCTIONS IN RELATION TO ANTI-TERRORISM COUNCIL RESOLUTION NO. 53 (2023)
TF-086,TF-086 - TARGETED FINANCIAL SANCTIONS IN RELATION TO ANTI-TERRORISM COUNCIL RESOLUTION NO. 54 (2023)
TF-076,TF-076 - TARGETED FINANCIAL SANCTIONS IN RELATION TO ANTI-TERRORISM COUNCIL RESOLUTION NO. 52 (2023)
TF-069,"TF-069 - NOTICE OF AMLC RESOLUTION NO. TF-69, SERIES OF 2023"
TF-068,"TF-068 - NOTICE OF AMLC RESOLUTION NO. TF-68, SERIES OF 2023"
TF-067,"TF-067 - NOTICE OF AMLC RESOLUTION NO. TF-67, SERIES OF 2023"
TF-064,"TF-064 - NOTICE OF AMLC RESOLUTION NO. TF- 64, SERIES OF 2023"
TF-063,"TF-063 - NOTICE OF AMLC RESOLUTION NO. TF- 63, SERIES OF 2023"
TF-056,"TF-056 - NOTICE OF AMLC RESOLUTION NO. TF-56, SERIES OF 2022"
TF-055,"TF-055 - NOTICE OF AMLC RESOLUTION NO. TF- 55, SERIES OF 2022"
TF-050,"TF-050 - NOTICE OF AMLC RESOLUTION NO. TF- 50, SERIES OF 2022"
TF-042,"TF-042 - NOTICE OF AMLC RESOLUTION NO. TF- 42, SERIES OF 2021"
TF-041,"TF-041 - NOTICE OF AMLC RESOLUTION NO. TF-41, SERIES OF 2021"
TF-040,"TF-040 - NOTICE OF AMLC RESOLUTION NO. TF- 40, SERIES OF 2021"
TF-039,"TF-039 - NOTICE OF AMLC RESOLUTION NO. TF- 39, SERIES OF 2021"
TF-035,"TF-035 - Anti-Terrorism Council Resolution No. 10 (s.2020) Designation by Adoption of the Consolidated Lists under UNSC Resolutions 1267 (1999), 1989 (2011), 2253 (2015) and their Successor Resolutions"
TF-034,"TF-034 - Sanctions Freeze Order in Relation to Anti-Terrorism Council Resolution No. 13, Series of 2020"
TF-033,"TF-033 - Sanctions Freeze Order in Relation to Domestic Designations by Anti- Terrorism Council under Resolution No. 12, Series of 2020"
