no,business_enterprise,listed_activity_subparagraph_of_paragraph_96,home_state,response_from_business_enterprise
1,A. Barkan and Partners Ltd.,"(a), (g)",Israel,
2,Ackerstein Industries Ltd.,(a),Israel,
3,Ahava – Dead Sea Laboratories Ltd.,(g),Israel,Response (23 September 2025)
4,Airbnb Inc.,(e),United States of America,
5,Alon Blue Square Israel Ltd.,"(e), (g)",Israel,
6,Altice International Ltd.,"(e), (g)",Luxembourg,
7,Amir Marketing and Investments in Agriculture Ltd.,(g),Israel,
8,Amos Hadar Properties and Investments Ltd.,(g),Israel,
9,Amot Investments Ltd.,(g),Israel,
10,Anglo Saxon Real Estate Agency (Israel 1992) Ltd.,"(e), (g)",Israel,
11,Archivists Ltd.,(g),Israel,
12,Ashtrom Group Ltd.,(g),Israel,
13,Ashtrom Industries Ltd.,(g),Israel,
14,Ashtrom Residential Development Ltd. a,"(e), (g)",Israel,
15,Bank Hapoalim Ltd.,"(e), (f), (g)",Israel,
16,Bank Leumi Le-Israel Ltd.,"(e), (f), (g)",Israel,
17,Bank of Jerusalem Ltd.,"(e), (f), (g)",Israel,
18,"Barad Earthworks, Development and Roadworks Ltd.","(a), (e)",Israel,
19,Bar-Amana Buildings Construction and Development Company Ltd.,"(a), (e)",Israel,
20,Baran Group Ltd.,(e),Israel,
21,Bardarian Brothers Ltd.,"(a), (e), (g)",Israel,
22,Beit Haarchiv Ltd.,(g),Israel,
23,"Bezeq, the Israeli Telecommunications Corp. Ltd.","(e), (g)",Israel,
24,B. Gaon Holdings Ltd.,(a),Israel,
25,Boneich Construction Development & Investments Ltd.,"(a), (g)",Israel,
26,Booking Holdings Inc.,(e),United States of America,
27,Booking.com B.V.,(e),Kingdom of the Netherlands,
28,Brothers Hasid Construction Contracting Company Ltd.,"(a), (e), (g)",Israel,
29,Café Café Israel Ltd.,"(e), (g)",Israel,
30,Caliber 3 Ltd.,"(d), (g)",Israel,
31,Cellcom Israel Ltd.,"(e), (g)",Israel,
32,Cherriessa Ltd.,(g),Israel,
33,CityBook Services Ltd.,(g),Israel,
34,C. Mer Industries Ltd.,"(b), (e)",Israel,
35,Comasco Ltd.,"(a), (c)",Israel,
36,Construcciones y Auxiliar de Ferrocarriles S.A. (CAF),"(a), (e), (g)",Spain,Response (24 September 2025)
37,Dalia Elispur Construction Contracting Company 1972 Ltd.,"(a), (g)",Israel,
38,Dan Public Transportation Company Ltd.,"(a), (e), (g)",Israel,
