name,alias,position,company,report,source_url,notes
Magnus Hall,,Chairperson,AB Göta kanalbolag,2024;2025,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf;https://www.regeringen.se/contentassets/15cc81b6237b4aa49578a845b7e3dc94/arlig-information-om-bolag-med-statligt-agande-2025.pdf,
Roger Altsäter,,CEO,AB Göta kanalbolag,2024;2025,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf;https://www.regeringen.se/contentassets/15cc81b6237b4aa49578a845b7e3dc94/arlig-information-om-bolag-med-statligt-agande-2025.pdf,
Fredrik Persson,,Board Member,AB Göta kanalbolag,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Jan Eric Johansson,,Board Member,AB Göta kanalbolag,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Jenny Lahrin,,Board Member,AB Göta kanalbolag,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Johanna Palmér,,Board Member,AB Göta kanalbolag,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Magnus Ling,,Board Member,AB Göta kanalbolag,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Pamela Clark,,Board Member,AB Göta kanalbolag,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Therese Sjöberg,,Employee Representative,AB Göta kanalbolag,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Mikael Berlin,,Auditor,AB Göta kanalbolag,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Eva-Lotta Sjöstedt,,Chairperson,AB Svenska Spel,2024;2025,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf;https://www.regeringen.se/contentassets/15cc81b6237b4aa49578a845b7e3dc94/arlig-information-om-bolag-med-statligt-agande-2025.pdf,
Anna Johnson,,CEO,AB Svenska Spel,2024;2025,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf;https://www.regeringen.se/contentassets/15cc81b6237b4aa49578a845b7e3dc94/arlig-information-om-bolag-med-statligt-agande-2025.pdf,2025 report misspells this as Anna Johansson
Anna Gagner-Geeber,,Board Member,AB Svenska Spel,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Anne Årneby,,Board Member,AB Svenska Spel,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Eivor Andersson,,Board Member,AB Svenska Spel,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Gunilla Herlitz,,Board Member,AB Svenska Spel,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Johan Wilsby,,Board Member,AB Svenska Spel,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Nyamko Sabuni,,Board Member,AB Svenska Spel,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Stefan Berg,,Board Member,AB Svenska Spel,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Emma Ståhlroos,,Employee Representative,AB Svenska Spel,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
Mats Haglund,,Employee Representative,AB Svenska Spel,2024,https://www.regeringen.se/regeringens-politik/bolag-med-statligt-agande/;https://www.regeringen.se/contentassets/a2be3c80b3384f3eadc64530f6a2ff23/verksamhetsberattelse--for-bolag-med-statligt-agande-2024.pdf,
