Type,Name,Alias,Country,Topics,List,Date,End date,Source URL
Organization,Directorate of Military Intelligence,DIM,CU,export.control,MIEU,2021-03-16,,https://www.federalregister.gov/documents/2021/01/15/2021-00977/expansion-of-certain-end-use-and-end-user-controls-and-controls-on-specific-activities-of-us-persons
Organization,Directorate of Military Counterintelligence,CIM,CU,export.control,MIEU,2021-03-16,,https://www.federalregister.gov/documents/2021/01/15/2021-00977/expansion-of-certain-end-use-and-end-user-controls-and-controls-on-specific-activities-of-us-persons
Organization,Intelligence Bureau of the Joint Staff Department,,CN,export.control,MIEU,2021-03-16,,https://www.federalregister.gov/documents/2021/01/15/2021-00977/expansion-of-certain-end-use-and-end-user-controls-and-controls-on-specific-activities-of-us-persons
Organization,Islamic Revolutionary Guard Corps Intelligence Organization,IRGC-IO,IR,export.control,MIEU,2021-03-16,,https://www.federalregister.gov/documents/2021/01/15/2021-00977/expansion-of-certain-end-use-and-end-user-controls-and-controls-on-specific-activities-of-us-persons
Organization,Artesh Directorate for Intelligence,J2,IR,export.control,MIEU,2021-03-16,,https://www.federalregister.gov/documents/2021/01/15/2021-00977/expansion-of-certain-end-use-and-end-user-controls-and-controls-on-specific-activities-of-us-persons
Organization,Reconnaissance General Bureau,RGB,KP,export.control,MIEU,2021-03-16,,https://www.federalregister.gov/documents/2021/01/15/2021-00977/expansion-of-certain-end-use-and-end-user-controls-and-controls-on-specific-activities-of-us-persons
Organization,Main Intelligence Directorate,GRU,RU,export.control,MIEU,2021-03-16,,https://www.federalregister.gov/documents/2021/01/15/2021-00977/expansion-of-certain-end-use-and-end-user-controls-and-controls-on-specific-activities-of-us-persons
Organization,Military Intelligence Service,,SY,export.control,MIEU,2021-03-16,,https://www.federalregister.gov/documents/2021/01/15/2021-00977/expansion-of-certain-end-use-and-end-user-controls-and-controls-on-specific-activities-of-us-persons
Organization,General Directorate of Military Counterintelligence,DGCIM,VE,export.control,MIEU,2021-03-16,,https://www.federalregister.gov/documents/2021/01/15/2021-00977/expansion-of-certain-end-use-and-end-user-controls-and-controls-on-specific-activities-of-us-persons
Organization,Office of Chief of Military Security Affairs,OCMSA,MM,export.control,MIEU,2021-04-09,,https://www.federalregister.gov/documents/2021/04/09/2021-07357/expansion-of-certain-end-use-and-end-user-controls-and-controls-on-specific-activities-of-us-persons
Organization,Directorate of Signal,,MM,export.control,MIEU,2021-04-09,,https://www.federalregister.gov/documents/2021/04/09/2021-07357/expansion-of-certain-end-use-and-end-user-controls-and-controls-on-specific-activities-of-us-persons
Organization,General Department of Research and Intelligence,GDRI,KH,export.control,MIEU,2021-12-09,,https://www.federalregister.gov/documents/2021/12/09/2021-26633/revision-of-controls-for-cambodia-under-the-export-administration-regulations
Organization,Main Intelligence Directorate of the General Staff of the Armed Forces of Belarus,,BY,export.control,MIEU,2022-03-02,,https://www.federalregister.gov/documents/2022/03/08/2022-04819/imposition-of-sanctions-against-belarus-under-the-export-administration-regulations-ear
