Name,Clean Name,Alias,Previous Name,Parent Name,Note,Start date,End date,Source Url
360 Security Technology Inc. (Qihoo 360)*,360 Security Technology Inc.,Qihoo 360,,,,2022-10-05,,
Advanced Micro-Fabrication Equipment Inc. China (AMEC),Advanced Micro-Fabrication Equipment Inc. China,AMEC,,,,2024-01-31,,
"Aerospace CH UAV Co., Ltd (S-SEA)*","Aerospace CH UAV Co., Ltd",S-SEA,,,,2021-06-03,,
Aviation Industry Corporation of China Ltd. (AVIC)*,Aviation Industry Corporation of China Ltd.,AVIC,,,,2021-06-03,,
AVIC Aviation High-Technology Company Limited (AVIC Aviation Hi-Tech)*,AVIC Aviation High-Technology Company Limited,AVIC Aviation Hi-Tech,,Aviation Industry Corporation of China Ltd.,,2021-06-03,,
AVIC Heavy Machinery Company Limited (AVIC Heavy Machinery)*,AVIC Heavy Machinery Company Limited,AVIC Heavy Machinery,,Aviation Industry Corporation of China Ltd.,,2021-06-03,,
"AVIC Jonhon Optronic Technology Co., Ltd. (AVIC Jonhon)*","AVIC Jonhon Optronic Technology Co., Ltd.",AVIC Jonhon,,Aviation Industry Corporation of China Ltd.,,2021-06-03,,
AVIC Shenyang Aircraft Company Limited (AVIC Shenyang)*,AVIC Shenyang Aircraft Company Limited,AVIC Shenyang,,Aviation Industry Corporation of China Ltd.,,2021-06-03,,
AVIC Xi’an Aircraft Industry Group Company Ltd. (AVIC Xi’an)*,AVIC Xi’an Aircraft Industry Group Company Ltd.,AVIC Xi’an,,Aviation Industry Corporation of China Ltd.,,2021-06-03,,
"Jiangxi Hongdu Aviation Industry Co., Ltd. (Hongdu Aviation)*","Jiangxi Hongdu Aviation Industry Co., Ltd.",Hongdu Aviation,,Aviation Industry Corporation of China Ltd.,,2021-06-03,,
Zhonghang Electronic Measuring Instruments Company Limited (ZEMIC)*,Zhonghang Electronic Measuring Instruments Company Limited,ZEMIC,,Aviation Industry Corporation of China Ltd.,,2021-06-03,,
"Beijing Megvii Technology Co., Ltd. (Megvii)","Beijing Megvii Technology Co., Ltd.",Megvii,,,,2024-01-31,2025-01-07,
"Beijing Zhidao Chuangyu Information Technology Co., Ltd. (Knownsec)*","Beijing Zhidao Chuangyu Information Technology Co., Ltd.","Knownsec,Beijing Kownsec",,,,2022-10-05,,
"BGI Genomics Co., Ltd. (BGI)*","BGI Genomics Co., Ltd.",BGI,,BGI Group,,2022-10-05,,
"Chengdu JOUAV Automation Tech Co., Ltd. (JOUAV)","Chengdu JOUAV Automation Tech Co., Ltd.",JOUAV,,,,2024-01-31,,
"Chengdu M&S Electronics Technology Co., Ltd. (M&S Electronics)","Chengdu M&S Electronics Technology Co., Ltd.",M&S Electronics,,,,2024-01-31,,
China Aerospace Science and Industry Corporation Limited (CASIC)*,China Aerospace Science and Industry Corporation Limited,CASIC,,,,2021-06-03,,
Aerosun Corporation (Aerosun)*,Aerosun Corporation,Aerosun,,China Aerospace Science and Industry Corporation Limited,,2021-06-03,,
China Communications Construction Group (Limited) (CCCG)*,China Communications Construction Group Limited,CCCG,,,,2021-06-03,,
China Communications Construction Company Limited (CCCC)*,China Communications Construction Company Limited,CCCC,,China Communications Construction Group Limited,,2021-06-03,,
"China Construction Technology Co., Ltd. (CCTC)","China Construction Technology Co., Ltd.",CCTC,,,,2024-01-31,,
China Electronics Corporation (CEC)*,China Electronics Corporation,CEC,,,,2021-06-03,,
China Electronics Technology Group Corporation (CETC)*,China Electronics Technology Group Corporation,CETC,,,,2021-06-03,,
"Hangzhou Hikvision Digital Technology Co., Ltd. (Hikvision)*","Hangzhou Hikvision Digital Technology Co., Ltd.",Hikvision,,China Electronics Technology Group Corporation,,2021-06-03,,
China General Nuclear Power Corporation (CGN)*,China General Nuclear Power Corporation,CGN,,,,2021-06-03,,
"China Mobile Communications Group Co., Ltd. (China Mobile Comm)*","China Mobile Communications Group Co., Ltd.",China Mobile Comm,,,,2021-06-03,,
China Mobile Limited (China Mobile)*,China Mobile Limited,China Mobile,,"China Mobile Communications Group Co., Ltd.",,2021-06-03,,
China National Chemical Corporation Ltd. (ChemChina)*,China National Chemical Corporation Ltd.,ChemChina,,,,2022-10-05,,
China National Chemical Engineering Group Corporation (CNCEC),China National Chemical Engineering Group Corporation,CNCEC,,,,2022-10-05,,
China National Nuclear Corporation (CNNC)*,China National Nuclear Corporation,CNNC,,,,2021-06-03,,
China National Offshore Oil Corporation (CNOOC)*,China National Offshore Oil Corporation,CNOOC,,,,2021-06-03,,
CNOOC Limited*,CNOOC Limited,,,China National Offshore Oil Corporation,,2021-06-03,,
China North Industries Group Corporation Limited (Norinco Group)*,China North Industries Group Corporation Limited,Norinco Group,,,,2021-06-03,,
"Inner Mongolia First Machinery Group Co., Ltd. (Inner Mongolia)*","Inner Mongolia First Machinery Group Co., Ltd.",Inner Monoglia,,China North Industries Group Corporation Limited,,2021-06-03,,
China Railway Construction Corporation Limited (CRCC)*,China Railway Construction Corporation Limited,CRCC,,,,2021-06-03,2025-01-07,
China South Industries Group Corporation (CSGC)*,China South Industries Group Corporation,CSGC,,,,2021-06-03,,
"Costar Group Co., Ltd. (Costar)*","Costar Group Co., Ltd.",Costar,,China South Industries Group Corporation,,2021-06-03,,
China SpaceSat Co.,China SpaceSat Co.,,,,,2021-06-03,,
China State Construction Engineering Corporation Limited (CSCEC),China State Construction Engineering Corporation Limited,CSCEC,,,,2024-01-31,,
China State Construction Group Co.*,China State Construction Group Co.,,,China State Construction Engineering Corporation Limited,,2022-10-05,2025-01-07,
China State Shipbuilding Corporation Limited (CSSC)*,China State Shipbuilding Corporation Limited,CSSC,,,,2021-06-03,,
China Marine Information Electronics Company Limited (China Marine Info Elec)*,China Marine Information Electronics Company Limited,China Marine Info Elec,,China State Shipbuilding Corporation Limited,,2021-06-03,2025-01-07,
"China Telecom Group Co., Ltd.","China Telecom Group Co., Ltd.",China Telecom,,,,2024-01-31,,
China Telecom Corporation Limited*,China Telecom Corporation Limited,,,"China Telecom Group Co., Ltd.",,2021-06-03,,
China Telecommunications Corporation*,China Telecommunications Corporation,,,"China Telecom Group Co., Ltd.",,2021-06-03,2025-01-07,
China Three Gorges Corporation (CTG),China Three Gorges Corporation,CTG,,,,2024-01-31,,
"China United Network Communications Group Co., Ltd. (China Unicom)","China United Network Communications Group Co., Ltd.",China Unicom,,,,2021-06-03,,
China Unicom (Hong Kong) Limited (China Unicom HK)*,China Unicom (Hong Kong) Limited,China Unicom HK,,"China United Network Communications Group Co., Ltd.",,2021-06-03,,
"CloudWalk Technology Co., Ltd (CloudWalk)*","CloudWalk Technology Co., Ltd",CloudWalk,,,,2022-10-05,,
CRRC Corporation Limited (CRRC)*,CRRC Corporation Limited,CRRC,,,,2022-10-05,,
"Dawning Information Industry Co., Ltd. (Sugon)*","Dawning Information Industry Co., Ltd.",Sugon,,,,2022-10-05,,
Global Tone Communication Technology Co Ltd. (GTCOM)*,Global Tone Communication Technology Co Ltd.,GTCOM,,,,2022-10-05,,
"Guizhou Aviation Technical Development Co., Ltd. (Guizhou Aviation Tech)","Guizhou Aviation Technical Development Co., Ltd.",Guizhou Aviation Tech,,,,2024-01-31,,
"Hesai Technology Co., Ltd. (Hesai)","Hesai Technology Co., Ltd.",Hesai,,,"Hesai Technology Co., Ltd. was previously identified as and remains a Chinese military company operating in the United States in accordance with Section 1260H of the William M. (“Mac”) Thornberry National Defense Authorization Act for Fiscal Year 2021 (Pub. L. 116-283) as reported in 89 FR 86230 (October 29, 2024).",2024-01-31,,
"Huawei Investment & Holding Co., Ltd. (Huawei Holding)*","Huawei Investment & Holding Co., Ltd.",Huawei Holding,,,,2021-06-03,,
"Huawei Technologies Co., Ltd. (Huawei)*","Huawei Technologies Co., Ltd.",Huawei,,"Huawei Investment & Holding Co., Ltd.",,2021-06-03,,
"IDG Capital Partners Co., Ltd. (IDG Capital)","IDG Capital Partners Co., Ltd.",IDG Capital,,,,2024-01-31,,
"Inspur Group Co., Ltd. (Inspur)*","Inspur Group Co., Ltd.",Inspur,,,,2021-06-03,,
"NetPosa Technologies, Ltd. (NetPosa)","NetPosa Technologies, Ltd.",NetPosa,,,,2024-01-31,,
Semiconductor Manufacturing International Corporation (SMIC)*,Semiconductor Manufacturing International Corporation,SMIC,,,,2021-06-03,,
Semiconductor Manufacturing International (Beijing) Corporation (SMIC Beijing)*,Semiconductor Manufacturing International (Beijing) Corporation,SMIC Beijing,,Semiconductor Manufacturing International Corporation,,2021-06-03,,
Semiconductor Manufacturing International (Shenzhen) Corporation (SMIC Shenzhen)*,Semiconductor Manufacturing International (Shenzhen) Corporation,SMIC Shenzhen,,Semiconductor Manufacturing International Corporation,,2021-06-03,,
Semiconductor Manufacturing International (Tianjin) Corporation (SMIC Tianjin)*,Semiconductor Manufacturing International (Tianjin) Corporation,SMIC Tianjin,,Semiconductor Manufacturing International Corporation,,2021-06-03,,
Semiconductor Manufacturing South China Corporation (SMIC South China)*,Semiconductor Manufacturing South China Corporation,SMIC South China,,Semiconductor Manufacturing International Corporation,,2021-06-03,,
SMIC Holdings Limited (SMIC Holdings)*,SMIC Holdings Limited,SMIC Holdings,,Semiconductor Manufacturing International Corporation,,2021-06-03,,
"SMIC Northern Integrated Circuit Manufacturing (Beijing) Co., Ltd (SMIC NICM)*","SMIC Northern Integrated Circuit Manufacturing (Beijing) Co., Ltd",SMIC NICM,,Semiconductor Manufacturing International Corporation,,2021-06-03,,
"SMIC Semiconductor Manufacturing (Shanghai) Co., Ltd (SMIC Shanghai)*","SMIC Semiconductor Manufacturing (Shanghai) Co., Ltd",SMIC Shanghai,,Semiconductor Manufacturing International Corporation,,2021-06-03,,
"Shanghai Yitu Network Technology Co., Ltd. (Yitu)","Shanghai Yitu Network Technology Co., Ltd.",Yitu,,,,2024-01-31,,
"ShenZhen Consys Science & Technology Co., Ltd. (Consys)","ShenZhen Consys Science & Technology Co., Ltd.",Consys,,,,2024-01-31,2025-01-07,
"Shenzhen DJI Innovation Technology Co., Ltd. (DJI)","Shenzhen DJI Innovation Technology Co., Ltd.",DJI,,,,2022-10-05,,
"Wuhan Geosun Navigation Technology Co., Ltd. (Geosun)","Wuhan Geosun Navigation Technology Co., Ltd.",Geosun,,,,2024-01-31,,
"Yangtze Memory Technologies Co., Ltd. (YMTC)","Yangtze Memory Technologies Co., Ltd.",YMTC,,,,2024-01-31,,
"Zhejiang Dahua Technology Co., Ltd. (Dahua)*","Zhejiang Dahua Technology Co., Ltd.",Dahua,,,,2022-10-05,,
China International Engineering Consulting Corporation (CIECC),China International Engineering Consulting Corporation,CIECC,,,No apparent U.S. nexus,2022-10-05,2024-01-31,
SMIC Hong Kong International Company Limited (SMIC HK),SMIC Hong Kong International Company Limited,SMIC HK,,,No longer owned by SMIC,2021-06-03,2024-01-31,
"Fujian Torch Electron Technology Co., Ltd. (Torch Electron)","Fujian Torch Electron Technology Co., Ltd.",Torch Electron,,,No apparent U.S. nexus,2021-06-03,2024-01-31,
360 Security Technology Inc. (Qihoo 360).,360 Security Technology Inc.,Qihoo 360,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Addsino Co., Ltd.",Addsino Co. Ltd.,,,China Aerospace Science and Industry Corporation Limited (CASIC),,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Aerospace CH UAV Co., Ltd (CH UAV)","Aerospace CH UAV Co., Ltd (CH UAV)",,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Aerospace Precision Products Co., Ltd.","Aerospace Precision Products Co., Ltd.",,,China Aerospace Science and Industry Corporation Limited (CASIC),,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Aerosun Corporation (Aerosun),Aerosun Corporation,Aerosun,,China Aerospace Science and Industry Corporation Limited (CASIC),,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Aisino Corporation,Aisino Corporation,,,China Aerospace Science and Industry Corporation Limited (CASIC),,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Anhui Sun Create Electronics Co., Ltd.","Anhui Sun Create Electronics Co., Ltd.",,,China Electronics Technology Group Corporation,,2025-01-07,2026-02-17,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Autel Robotics Co., Ltd.","Autel Robotics Co., Ltd.",,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Aviation Industry Corporation of China Ltd. (AVIC),Aviation Industry Corporation of China Ltd.,AVIC,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"AVIC Aerospace Systems Co., Ltd.","AVIC Aerospace Systems Co., Ltd.",,,Aviation Industry Corporation of China Ltd,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"AVIC Airborne Systems Co., Ltd. (formerly China Avionics Systems Co., Ltd.)","AVIC Airborne Systems Co., Ltd.","China Avionics Systems Co., Ltd.",,Aviation Industry Corporation of China Ltd,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
AVIC Asset Management Corporation Ltd.,AVIC Asset Management Corporation Ltd.,,,Aviation Industry Corporation of China Ltd,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
AVIC Aviation High-Technology Company Limited (AVIC Aviation Hi-Tech),AVIC Aviation High-Technology Company Limited,AVIC Aviation Hi-Tech,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
AVIC Electromechanical Systems Co. Ltd.,AVIC Electromechanical Systems Co. Ltd.,,,Aviation Industry Corporation of China Ltd,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
AVIC Heavy Machinery Company Limited (AVIC Heavy Machinery),AVIC Heavy Machinery Company Limited,AVIC Heavy Machinery,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"AVIC JONHON Optronic Technology Co., Ltd. (AVIC Jonhon)","AVIC JONHON Optronic Technology Co., Ltd.",AVIC Jonhon,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
AVIC Shenyang Aircraft Company Limited (AVIC Shenyang),AVIC Shenyang Aircraft Company Limited,AVIC Shenyang,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
AVIC Xi'an Aircraft Industry Group Company Ltd. (AVIC Xi'an),AVIC Xi'an Aircraft Industry Group Company Ltd.,AVIC Xi'an,,Aviation Industry Corporation of China Ltd,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Baicells Technologies Co., Ltd.","Baicells Technologies Co., Ltd.",,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Beijing Aeronautical Science & Technology Research Institute (Beijing Research Center),Beijing Aeronautical Science & Technology Research Institute,Beijing Research Center,,Commercial Aircraft Corporation of China Limited,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Beijing Zhidao Chuangyu Information Technology Co., Ltd. (Knownsec)","Beijing Zhidao Chuangyu Information Technology Co., Ltd.",Knownsec,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Better Way Enterprises Limited,Better Way Enterprises Limited,,,Semiconductor Manufacturing International Corporation,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"BGI Genomics Co., Ltd. (BGI)","BGI Genomics Co., Ltd.",BGI,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
