schema,name,aliases,topics,program,authority,reason,report-date,start-date,end-date,country,notes,source_url
Person,Ch'oe Ch'o'l-min,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-01-27,2026-01-22,2028-01-22,DPRK,,https://www.federalregister.gov/documents/2026/01/27/2026-01593/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,EXPTRANS GMBH S.A.R.L.,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-01-27,2026-01-22,2028-01-22,Lebanon,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/01/27/2026-01593/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,Futech Co. Ltd,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-01-27,2026-01-22,2028-01-22,China,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/01/27/2026-01593/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,International Biotechnology Services FZC,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-01-27,2026-01-22,2028-01-22,UAE,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/01/27/2026-01593/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,JS Research Inc.,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-01-27,2026-01-22,2028-01-22,ROK,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/01/27/2026-01593/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,Second Academy of Natural Science Foreign Affairs Bureau,SANS FAB,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-01-27,2026-01-22,2028-01-22,DPRK,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/01/27/2026-01593/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,1061st Material-Technical Support Center,MTSC,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Russia,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Abdullah Hammam bin Mustafar,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Malaysia,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Aleksandr Ivanovich Prikhodko,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Russian,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Andrei Gusev,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Russian,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Andrey Vladimirovich Kosolapov,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Russian,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Ellengo Lori,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Malaysia,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,Gedion Alpha Company LLC,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Russia,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Huang Chin Hsin,Huang Jinxing,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Taiwan,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,International Invest Company,IIC,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Russia,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,Kala Gozar Pars Shipping and Logistics Company,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Iran,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Kang T'ae-so'ng,Kang Thae Song,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,DPRK,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Mehdi Ghasemi,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Malaysia,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Mohammad Ejen,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Malaysia,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Morozik Vladislav Antonovich,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Russian,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,NS Global Logistics,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Malaysia,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Rabi' Madkhanah,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Syrian,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Ruhollah Katebi,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Iranian,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,Russian Ground Forces ,RGF,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Russia,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,Russian Main Missile and Artillery Directorate,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Russia,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,Russian Ministry of Defense Directorate for Advanced Inter-Service Research and Special Projects,UPMLiSP,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Russia,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Person,Sergey Nikolayevich Tsibarev,,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,Russia,,https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
Company,Yixing Ruibang High Performance Carbon Fiber Products Co. Ltd,Yixing Ruibang,sanction,Nonproliferation Sanctions (ISN) - State Department,State Department,,2026-08-04,2026-07-24,,China,"and any successor, sub-unit, or subsidiary thereof;",https://www.federalregister.gov/documents/2026/08/04/2026-15759/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government
