document_number,publication_date,html_url,pdf_url
2026-01593,2026-01-27,https://www.federalregister.gov/documents/2026/01/27/2026-01593/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2026-01-27/pdf/2026-01593.pdf
2024-27964,2024-11-29,https://www.federalregister.gov/documents/2024/11/29/2024-27964/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2024-11-29/pdf/2024-27964.pdf
2024-11588,2024-05-28,https://www.federalregister.gov/documents/2024/05/28/2024-11588/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2024-05-28/pdf/2024-11588.pdf
2024-04647,2024-03-06,https://www.federalregister.gov/documents/2024/03/06/2024-04647/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2024-03-06/pdf/2024-04647.pdf
2023-16891,2023-08-08,https://www.federalregister.gov/documents/2023/08/08/2023-16891/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2023-08-08/pdf/2023-16891.pdf
2022-22347,2022-10-14,https://www.federalregister.gov/documents/2022/10/14/2022-22347/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-united-states,https://www.govinfo.gov/content/pkg/FR-2022-10-14/pdf/2022-22347.pdf
2022-06200,2022-03-24,https://www.federalregister.gov/documents/2022/03/24/2022-06200/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2022-03-24/pdf/2022-06200.pdf
2021-16971,2021-08-10,https://www.federalregister.gov/documents/2021/08/10/2021-16971/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2021-08-10/pdf/2021-16971.pdf
2021-01316,2021-01-22,https://www.federalregister.gov/documents/2021/01/22/2021-01316/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2021-01-22/pdf/2021-01316.pdf
2020-26000,2020-11-25,https://www.federalregister.gov/documents/2020/11/25/2020-26000/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2020-11-25/pdf/2020-26000.pdf
2020-21927,2020-10-05,https://www.federalregister.gov/documents/2020/10/05/2020-21927/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2020-10-05/pdf/2020-21927.pdf
2020-02993,2020-02-14,https://www.federalregister.gov/documents/2020/02/14/2020-02993/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2020-02-14/pdf/2020-02993.pdf
2019-10664,2019-05-22,https://www.federalregister.gov/documents/2019/05/22/2019-10664/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2019-05-22/pdf/2019-10664.pdf
2018-10091,2018-05-10,https://www.federalregister.gov/documents/2018/05/10/2018-10091/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2018-05-10/pdf/2018-10091.pdf
2018-09928,2018-05-09,https://www.federalregister.gov/documents/2018/05/09/2018-09928/s-rosoboronexport-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2018-05-09/pdf/2018-09928.pdf
2017-06225,2017-03-30,https://www.federalregister.gov/documents/2017/03/30/2017-06225/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2017-03-30/pdf/2017-06225.pdf
2017-06224,2017-03-29,https://www.federalregister.gov/documents/2017/03/29/2017-06224/imposition-of-nonproliferation-measures-against-rosoboronexport-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2017-03-29/pdf/2017-06224.pdf
2016-15832,2016-07-05,https://www.federalregister.gov/documents/2016/07/05/2016-15832/imposition-of-nonproliferation-measures-against-foreign-person-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2016-07-05/pdf/2016-15832.pdf
2016-15828,2016-07-05,https://www.federalregister.gov/documents/2016/07/05/2016-15828/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2016-07-05/pdf/2016-15828.pdf
2015-27386,2015-10-27,https://www.federalregister.gov/documents/2015/10/27/2015-27386/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2015-10-27/pdf/2015-27386.pdf
2015-24274,2015-09-24,https://www.federalregister.gov/documents/2015/09/24/2015-24274/imposition-of-nonproliferation-measures-on-two-north-korean-entities,https://www.govinfo.gov/content/pkg/FR-2015-09-24/pdf/2015-24274.pdf
2015-21778,2015-09-02,https://www.federalregister.gov/documents/2015/09/02/2015-21778/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2015-09-02/pdf/2015-21778.pdf
2014-30564,2014-12-30,https://www.federalregister.gov/documents/2014/12/30/2014-30564/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2014-12-30/pdf/2014-30564.pdf
2013-03030,2013-02-11,https://www.federalregister.gov/documents/2013/02/11/2013-03030/bureau-of-international-security-and-nonproliferation-imposition-of-nonproliferation-measures,https://www.govinfo.gov/content/pkg/FR-2013-02-11/pdf/2013-03030.pdf
2013-03026,2013-02-11,https://www.federalregister.gov/documents/2013/02/11/2013-03026/bureau-of-international-security-and-nonproliferation-imposition-of-nonproliferation-measures-on,https://www.govinfo.gov/content/pkg/FR-2013-02-11/pdf/2013-03026.pdf
2012-18041,2012-07-24,https://www.federalregister.gov/documents/2012/07/24/2012-18041/imposition-of-nonproliferation-measures-on-five-syrian-entities,https://www.govinfo.gov/content/pkg/FR-2012-07-24/pdf/2012-18041.pdf
2011-33143,2011-12-27,https://www.federalregister.gov/documents/2011/12/27/2011-33143/imposition-of-nonproliferation-measures-against-foreign-persons-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2011-12-27/pdf/2011-33143.pdf
2011-13255,2011-05-27,https://www.federalregister.gov/documents/2011/05/27/2011-13255/bureau-of-international-security-and-nonproliferation-imposition-of-nonproliferation-measures,https://www.govinfo.gov/content/pkg/FR-2011-05-27/pdf/2011-13255.pdf
E9-2177,2009-02-02,https://www.federalregister.gov/documents/2009/02/02/E9-2177/imposition-of-nonproliferation-measures-on-two-chinese-entities-and-two-iranian-entities,https://www.govinfo.gov/content/pkg/FR-2009-02-02/pdf/E9-2177.pdf
E9-2176,2009-02-02,https://www.federalregister.gov/documents/2009/02/02/E9-2176/imposition-of-nonproliferation-measures-on-three-north-korean-entities-and-one-iranian-entity,https://www.govinfo.gov/content/pkg/FR-2009-02-02/pdf/E9-2176.pdf
E7-18997,2007-09-26,https://www.federalregister.gov/documents/2007/09/26/E7-18997/bureau-of-international-security-and-nonproliferation-imposition-of-nonproliferation-measures-on-two,https://www.govinfo.gov/content/pkg/FR-2007-09-26/pdf/E7-18997.pdf
E7-7660,2007-04-23,https://www.federalregister.gov/documents/2007/04/23/E7-7660/bureau-of-international-security-and-nonproliferation-imposition-of-nonproliferation-measures,https://www.govinfo.gov/content/pkg/FR-2007-04-23/pdf/E7-7660.pdf
E6-22630,2007-01-05,https://www.federalregister.gov/documents/2007/01/05/E6-22630/bureau-of-international-security-and-nonproliferation-imposition-of-nonproliferation-measures,https://www.govinfo.gov/content/pkg/FR-2007-01-05/pdf/E6-22630.pdf
E6-12641,2006-08-04,https://www.federalregister.gov/documents/2006/08/04/E6-12641/bureau-of-international-security-and-nonproliferation-imposition-of-nonproliferation-measures,https://www.govinfo.gov/content/pkg/FR-2006-08-04/pdf/E6-12641.pdf
E5-8116,2005-12-30,https://www.federalregister.gov/documents/2005/12/30/E5-8116/bureau-of-international-security-and-nonproliferation-imposition-of-nonproliferation-measures,https://www.govinfo.gov/content/pkg/FR-2005-12-30/pdf/E5-8116.pdf
04-28736,2005-01-03,https://www.federalregister.gov/documents/2005/01/03/04-28736/imposition-of-nonproliferation-measures-against-nine-foreign-entities-including-a-ban-on-us,https://www.govinfo.gov/content/pkg/FR-2005-01-03/pdf/04-28736.pdf
04-26508,2004-12-01,https://www.federalregister.gov/documents/2004/12/01/04-26508/bureau-of-nonproliferation-imposition-of-nonproliferation-measures-against-five-foreign-entities,https://www.govinfo.gov/content/pkg/FR-2004-12-01/pdf/04-26508.pdf
04-25636,2004-11-18,https://www.federalregister.gov/documents/2004/11/18/04-25636/bureau-of-nonproliferation-imposition-of-nonproliferation-measures-on-an-entity-in-russia-including,https://www.govinfo.gov/content/pkg/FR-2004-11-18/pdf/04-25636.pdf
04-21790,2004-09-29,https://www.federalregister.gov/documents/2004/09/29/04-21790/imposition-of-nonproliferation-measures-against-fourteen-foreign-entities-including-ban-on-us,https://www.govinfo.gov/content/pkg/FR-2004-09-29/pdf/04-21790.pdf
04-21079,2004-09-20,https://www.federalregister.gov/documents/2004/09/20/04-21079/imposition-of-nonproliferation-measures-on-an-entity-in-china-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2004-09-20/pdf/04-21079.pdf
04-7870,2004-04-07,https://www.federalregister.gov/documents/2004/04/07/04-7870/bureau-of-nonproliferation-imposition-of-nonproliferation-measures-against-thirteen-entities,https://www.govinfo.gov/content/pkg/FR-2004-04-07/pdf/04-7870.pdf
03-31725,2003-12-24,https://www.federalregister.gov/documents/2003/12/24/03-31725/bureau-of-nonproliferation-imposition-of-nonproliferation-measures-on-macedonian-entities-including,https://www.govinfo.gov/content/pkg/FR-2003-12-24/pdf/03-31725.pdf
03-19417,2003-07-30,https://www.federalregister.gov/documents/2003/07/30/03-19417/bureau-of-nonproliferation-imposition-of-nonproliferation-measures-on-an-entity-in-china-including-a,https://www.govinfo.gov/content/pkg/FR-2003-07-30/pdf/03-19417.pdf
03-16938,2003-07-03,https://www.federalregister.gov/documents/2003/07/03/03-16938/imposition-of-nonproliferation-measures-against-chinese-and-north-korean-entities-including-ban-on,https://www.govinfo.gov/content/pkg/FR-2003-07-03/pdf/03-16938.pdf
03-13268,2003-05-28,https://www.federalregister.gov/documents/2003/05/28/03-13268/bureau-of-nonproliferation-imposition-of-nonproliferation-measures-on-an-iranian-entity-including-a,https://www.govinfo.gov/content/pkg/FR-2003-05-28/pdf/03-13268.pdf
03-13022,2003-05-23,https://www.federalregister.gov/documents/2003/05/23/03-13022/bureau-of-nonproliferation-imposition-of-nonproliferation-measures-on-an-iranian-entity-including-a,https://www.govinfo.gov/content/pkg/FR-2003-05-23/pdf/03-13022.pdf
03-13021,2003-05-23,https://www.federalregister.gov/documents/2003/05/23/03-13021/bureau-of-nonproliferation-imposition-of-nonproliferation-measures-on-an-entity-in-china-including-a,https://www.govinfo.gov/content/pkg/FR-2003-05-23/pdf/03-13021.pdf
03-7944,2003-04-02,https://www.federalregister.gov/documents/2003/04/02/03-7944/imposition-of-nonproliferation-measures-on-a-foreign-entity-including-a-ban-on-us-government,https://www.govinfo.gov/content/pkg/FR-2003-04-02/pdf/03-7944.pdf
03-5763,2003-03-11,https://www.federalregister.gov/documents/2003/03/11/03-5763/bureau-of-nonproliferation-imposition-of-nonproliferation-measures-against-foreign-persons-including,https://www.govinfo.gov/content/pkg/FR-2003-03-11/pdf/03-5763.pdf
02-18852,2002-07-25,https://www.federalregister.gov/documents/2002/07/25/02-18852/bureau-of-nonproliferation-imposition-of-nonproliferation-measures-against-entities-in-the-peoples,https://www.govinfo.gov/content/pkg/FR-2002-07-25/pdf/02-18852.pdf
